question_id,question,domain,candidate_alignment_band,candidate_alignment_review_rank,candidate_alignment_shared_term_count,candidate_alignment_shared_terms,candidate_alignment_coverage,candidate_alignment_selection_score,candidate_alignment_short_query,candidate_alignment_source,candidate_alignment_source_url,candidate_alignment_source_title,candidate_ddg_status,candidate_ddg_abstract_source,candidate_ddg_abstract_text,candidate_chunks,gold_chunk_ids,gold_answer,gold_status,review_method,reviewer_notes
CH-0718,Hướng dẫn và quy định liên quan đến giải pháp năng lượng tái tạo từ điện gió và điện mặt trời (Mã CH-0718)?,general,HIGH_SIGNAL,11,4,"[""lượng"", ""mặt"", ""năng"", ""trời""]",0.266667,71.6667,hướng dẫn quy định liên quan pháp năng,canonical_fetch_existing,https://vi.wikipedia.org/wiki/N%C4%83ng_l%C6%B0%E1%BB%A3ng_M%E1%BA%B7t_Tr%E1%BB%9Di,Năng lượng Mặt Trời – Wikipedia tiếng Việt,DDG_API_OK,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0716,Hướng dẫn và quy định liên quan đến các triều đại phong kiến kéo dài nhất trong lịch sử việt nam (Mã CH-0716)?,general,HIGH_SIGNAL,12,4,"[""lịch"", ""nam"", ""sử"", ""việt""]",0.25,70.0,hướng dẫn quy định liên quan triều đại,canonical_fetch_existing,https://vi.wikipedia.org/wiki/L%E1%BB%8Bch_s%E1%BB%AD_Vi%E1%BB%87t_Nam,Lịch sử Việt Nam – Wikipedia tiếng Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0994,Tra cứu thông tin: Quy trình khám chữa bệnh bằng BHYT tại bệnh viện tuyến tỉnh (Mã CH-0994)?,general,HIGH_SIGNAL,13,4,"[""cứu"", ""quy"", ""tra"", ""tuyến""]",0.285714,68.5714,tra cứu thông tin quy trình khám chữa,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0973,Tra cứu thông tin: Luật Bảo vệ người tiêu dùng quy định quyền hạn gì (Mã CH-0973)?,general,HIGH_SIGNAL,14,4,"[""cứu"", ""luật"", ""tra"", ""định""]",0.285714,68.5714,tra cứu thông tin luật bảo vệ người,canonical_fetch_existing,https://thuvienphapluat.vn/,"THƯ VIỆN PHÁP LUẬT _ Tra cứu, Nắm bắt Pháp Luật Việt Nam",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0494,Tra cứu thông tin: Quy trình khám chữa bệnh bằng BHYT tại bệnh viện tuyến tỉnh (Mã CH-0494)?,general,HIGH_SIGNAL,15,4,"[""cứu"", ""quy"", ""tra"", ""tuyến""]",0.285714,68.5714,tra cứu thông tin quy trình khám chữa,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0473,Tra cứu thông tin: Luật Bảo vệ người tiêu dùng quy định quyền hạn gì (Mã CH-0473)?,general,HIGH_SIGNAL,16,4,"[""cứu"", ""luật"", ""tra"", ""định""]",0.285714,68.5714,tra cứu thông tin luật bảo vệ người,canonical_fetch_existing,https://thuvienphapluat.vn/,"THƯ VIỆN PHÁP LUẬT _ Tra cứu, Nắm bắt Pháp Luật Việt Nam",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0198,Thông tin chi tiết về tác dụng của rừng ngập mặn đối với việc chắn sóng và biến đổi khí hậu (Mã CH-0198)?,general,HIGH_SIGNAL,17,4,"[""biến"", ""hậu"", ""khí"", ""đổi""]",0.235294,68.5294,thông tin chi tiết tác dụng rừng ngập,canonical_fetch_existing,https://vi.wikipedia.org/wiki/Bi%E1%BA%BFn_%C4%91%E1%BB%95i_kh%C3%AD_h%E1%BA%ADu,Biến đổi khí hậu – Wikipedia tiếng Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0021,Quy định mới về an toàn thông tin mạng tại Việt Nam mới nhất năm nay (Mã CH-0021)?,general,HIGH_SIGNAL,18,3,"[""an"", ""nam"", ""việt""]",0.333333,68.3333,quy định an toàn thông tin mạng việt,canonical_fetch_existing,https://vi.wikipedia.org/wiki/B%E1%BB%99_C%C3%B4ng_an_(Vi%E1%BB%87t_Nam),Bộ Công an (Việt Nam) – Wikipedia tiếng Việt,DDG_API_OK,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0855,Phân tích và thực trạng về lịch thi tốt nghiệp thpt quốc gia năm nay (Mã CH-0855)?,general,HIGH_SIGNAL,19,3,"[""gia"", ""quốc"", ""thi""]",0.272727,62.2727,phân tích thực trạng lịch thi tốt nghiệp,canonical_fetch_existing,https://vi.wikipedia.org/wiki/K%E1%BB%B3_thi_trung_h%E1%BB%8Dc_ph%E1%BB%95_th%C3%B4ng_qu%E1%BB%91c_gia,Kỳ thi trung học phổ thông quốc gia – Wikipedia tiếng Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0090,Luật việt vị trong bóng đá được quy định cụ thể ra sao mới nhất năm nay (Mã CH-0090)?,general,HIGH_SIGNAL,20,3,"[""luật"", ""việt"", ""định""]",0.3,60.0,luật việt vị bóng đá quy định cụ,canonical_fetch_existing,https://thuvienphapluat.vn/,"THƯ VIỆN PHÁP LUẬT _ Tra cứu, Nắm bắt Pháp Luật Việt Nam",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0013,Quy định về thời giờ làm việc và nghỉ ngơi theo Luật Lao động mới nhất năm nay (Mã CH-0013)?,general,HIGH_SIGNAL,21,3,"[""lao"", ""quy"", ""việc""]",0.3,60.0,quy định thời giờ việc nghỉ ngơi luật,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_API_OK,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0152,Thông tin chi tiết về tình hình xuất nhập khẩu hàng hóa việt nam năm nay (Mã CH-0152)?,general,HIGH_SIGNAL,22,3,"[""hình"", ""nam"", ""việt""]",0.230769,58.0769,thông tin chi tiết tình hình xuất nhập,canonical_fetch_existing,https://vi.wikipedia.org/wiki/%C4%90%C3%A0i_Truy%E1%BB%81n_h%C3%ACnh_Vi%E1%BB%87t_Nam,Đài Truyền hình Việt Nam – Wikipedia tiếng Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0290,Hướng dẫn và quy định liên quan đến luật việt vị trong bóng đá được quy định cụ thể ra sao (Mã CH-0290)?,general,HIGH_SIGNAL,23,3,"[""liên"", ""quan"", ""việt""]",0.214286,56.4286,hướng dẫn quy định liên quan luật việt,canonical_fetch_existing,"https://vi.wikipedia.org/wiki/Danh_s%C3%A1ch_tranh_c%C3%A3i,_v%E1%BB%A5_vi%E1%BB%87c_li%C3%AAn_quan_%C4%91%E1%BA%BFn_%C4%90%C3%A0i_Truy%E1%BB%81n_h%C3%ACnh_Vi%E1%BB%87t_Nam","Danh sách tranh cãi, vụ việc liên quan đến Đài Truyền hình Việt Nam – Wikipedia tiếng Việt",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0972,Tra cứu thông tin: Quy trình thành lập doanh nghiệp cổ phần (Mã CH-0972)?,general,HIGH_SIGNAL,24,3,"[""cứu"", ""quy"", ""tra""]",0.25,55.0,tra cứu thông tin quy trình thành lập,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0472,Tra cứu thông tin: Quy trình thành lập doanh nghiệp cổ phần (Mã CH-0472)?,general,HIGH_SIGNAL,25,3,"[""cứu"", ""quy"", ""tra""]",0.25,55.0,tra cứu thông tin quy trình thành lập,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0544,Cách phân biệt sốt xuất huyết và sốt siêu vi mới nhất năm nay (Mã CH-0544)?,general,HIGH_SIGNAL,26,2,"[""phân"", ""vi""]",0.285714,53.5714,phân biệt sốt xuất huyết siêu vi,canonical_fetch_existing,https://vi.wikipedia.org/wiki/Ph%C3%A2n,Phân – Wikipedia tiếng Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0044,Cách phân biệt sốt xuất huyết và sốt siêu vi mới nhất năm nay (Mã CH-0044)?,general,HIGH_SIGNAL,27,2,"[""phân"", ""vi""]",0.285714,53.5714,phân biệt sốt xuất huyết siêu vi,canonical_fetch_existing,https://vi.wikipedia.org/wiki/Ph%C3%A2n,Phân – Wikipedia tiếng Việt,DDG_API_OK,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0963,Tra cứu thông tin: Quy định về bồi thường khi nhà nước thu hồi đất (Mã CH-0963)?,general,HIGH_SIGNAL,28,3,"[""cứu"", ""quy"", ""tra""]",0.230769,53.0769,tra cứu thông tin quy định bồi thường,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0912,Tra cứu thông tin: Diễn biến thị trường chứng khoán Việt Nam tuần qua (Mã CH-0912)?,general,HIGH_SIGNAL,29,3,"[""diễn"", ""tra"", ""việt""]",0.230769,53.0769,tra cứu thông tin diễn biến thị trường,canonical_fetch_existing,https://hvdic.thivien.net/hv/di%E1%BB%85n,Tra từ: diễn - Từ điển Hán Nôm,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0910,Tra cứu thông tin: Luật thi đấu môn Cầu lông mới nhất của Liên đoàn Thế giới (Mã CH-0910)?,general,HIGH_SIGNAL,30,3,"[""cứu"", ""luật"", ""tra""]",0.230769,53.0769,tra cứu thông tin luật thi đấu môn,canonical_fetch_existing,https://thuvienphapluat.vn/,"THƯ VIỆN PHÁP LUẬT _ Tra cứu, Nắm bắt Pháp Luật Việt Nam",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0908,Tra cứu thông tin: Tác động của hiện tượng El Nino đến thời tiết Việt Nam (Mã CH-0908)?,general,HIGH_SIGNAL,31,3,"[""tra"", ""tác"", ""việt""]",0.230769,53.0769,tra cứu thông tin tác động tượng el,canonical_fetch_existing,https://hvdic.thivien.net/hv/t%C3%A1c,Tra từ: tác - Từ điển Hán Nôm,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0463,Tra cứu thông tin: Quy định về bồi thường khi nhà nước thu hồi đất (Mã CH-0463)?,general,HIGH_SIGNAL,32,3,"[""cứu"", ""quy"", ""tra""]",0.230769,53.0769,tra cứu thông tin quy định bồi thường,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0408,Tra cứu thông tin: Tác động của hiện tượng El Nino đến thời tiết Việt Nam (Mã CH-0408)?,general,HIGH_SIGNAL,33,3,"[""tra"", ""tác"", ""việt""]",0.230769,53.0769,tra cứu thông tin tác động tượng el,canonical_fetch_existing,https://hvdic.thivien.net/hv/t%C3%A1c,Tra từ: tác - Từ điển Hán Nôm,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0954,Tra cứu thông tin: Tập luyện yoga hỗ trợ giảm đau lưng và cột sống (Mã CH-0954)?,general,HIGH_SIGNAL,34,3,"[""luyện"", ""tra"", ""tập""]",0.214286,51.4286,tra cứu thông tin tập luyện yoga hỗ,canonical_fetch_existing,https://www.typingstudy.com/vi,Luyện gõ 10 ngón trực tuyến,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0913,Tra cứu thông tin: Quy định về thời giờ làm việc và nghỉ ngơi theo Luật Lao động (Mã CH-0913)?,general,HIGH_SIGNAL,35,3,"[""cứu"", ""quy"", ""tra""]",0.214286,51.4286,tra cứu thông tin quy định thời giờ,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0454,Tra cứu thông tin: Tập luyện yoga hỗ trợ giảm đau lưng và cột sống (Mã CH-0454)?,general,HIGH_SIGNAL,36,3,"[""luyện"", ""tra"", ""tập""]",0.214286,51.4286,tra cứu thông tin tập luyện yoga hỗ,canonical_fetch_existing,https://www.typingstudy.com/vi,Luyện gõ 10 ngón trực tuyến,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0413,Tra cứu thông tin: Quy định về thời giờ làm việc và nghỉ ngơi theo Luật Lao động (Mã CH-0413)?,general,HIGH_SIGNAL,37,3,"[""cứu"", ""quy"", ""tra""]",0.214286,51.4286,tra cứu thông tin quy định thời giờ,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
